ObsID,variable,absolute_error
sch01_tch04_03_07_18_period05,IsDisciplinaryTermsPresent,0.1867193775510666
sch01_tch04_03_08_18_period05,IsDisciplinaryTermsPresent,0.08990604928999635
sch01_tch04_04_27_18_period05,IsDisciplinaryTermsPresent,0.07640697791466446
sch01_tch04_04_30_18_period04,IsDisciplinaryTermsPresent,0.08504647298174753
sch01_tch04_04_30_18_period05,IsDisciplinaryTermsPresent,0.06386940059230758
sch01_tch04_05_01_18_period04,IsDisciplinaryTermsPresent,0.10974068715845292
sch01_tch04_05_02_18_period04,IsDisciplinaryTermsPresent,0.17224997808057912
sch01_tch05_04_10_18_period02,IsDisciplinaryTermsPresent,0.02171064488499721
sch01_tch05_04_10_18_period04,IsDisciplinaryTermsPresent,0.07503813934135528
sch01_tch05_04_11_18_period01,IsDisciplinaryTermsPresent,0.12231961317636711
sch01_tch05_04_11_18_period04,IsDisciplinaryTermsPresent,0.013270441052104441
sch01_tch05_04_12_18_period02,IsDisciplinaryTermsPresent,0.08333185539457626
sch01_tch05_04_12_18_period04,IsDisciplinaryTermsPresent,0.033811877290613315
sch01_tch05_04_17_18_period02,IsDisciplinaryTermsPresent,0.029748516819662892
sch01_tch05_04_17_18_period04,IsDisciplinaryTermsPresent,0.0
sch02_tch01_03_07_18_period1516,IsDisciplinaryTermsPresent,0.1779515287505434
sch02_tch01_03_08_18_period1314,IsDisciplinaryTermsPresent,0.09955429105279995
sch02_tch01_03_08_18_period1516,IsDisciplinaryTermsPresent,0.2878847833196899
sch02_tch01_03_09_18_period1314,IsDisciplinaryTermsPresent,0.1075545857015221
sch02_tch01_03_09_18_period1516,IsDisciplinaryTermsPresent,0.08910067307795803
sch02_tch01_03_12_18_period1516,IsDisciplinaryTermsPresent,0.11318138512518104
sch02_tch01_03_14_18_period1314,IsDisciplinaryTermsPresent,0.16782078527393152
sch02_tch01_03_14_18_period1516,IsDisciplinaryTermsPresent,0.08285023329702113
sch02_tch01_03_16_18_period1314,IsDisciplinaryTermsPresent,0.06648336955169018
sch02_tch02_02_28_18_period05-06,IsDisciplinaryTermsPresent,0.13763095414717774
sch02_tch02_02_28_18_period13-14,IsDisciplinaryTermsPresent,0.014168769524162197
sch02_tch02_03_01_18_period05-06,IsDisciplinaryTermsPresent,0.20094419234606103
sch02_tch02_03_01_18_period13-14,IsDisciplinaryTermsPresent,0.20317717618001596
sch02_tch02_03_07_18_period05-06,IsDisciplinaryTermsPresent,0.22376830812502746
sch02_tch02_04_23_18_period13-14,IsDisciplinaryTermsPresent,0.19625241302268953
sch02_tch02_04_24_18_period5-6,IsDisciplinaryTermsPresent,0.0979568758671333
sch02_tch02_04_24_18_period7-8,IsDisciplinaryTermsPresent,0.11997305253304358
sch02_tch02_04_26_18_period13-14,IsDisciplinaryTermsPresent,0.11443702136276306
sch02_tch03_04_10_18_period02,IsDisciplinaryTermsPresent,0.011908691345154702
sch02_tch03_04_10_18_period03,IsDisciplinaryTermsPresent,0.03544252254278145
sch02_tch03_04_11_18_period02,IsDisciplinaryTermsPresent,0.007547015067876181
sch02_tch03_04_11_18_period03,IsDisciplinaryTermsPresent,0.10103816829270118
sch02_tch03_04_12_18_period02,IsDisciplinaryTermsPresent,0.05491921225281584
sch02_tch03_04_12_18_period03,IsDisciplinaryTermsPresent,0.023654013805401733
sch02_tch03_04_18_18_period02,IsDisciplinaryTermsPresent,0.07872894048771159
sch02_tch03_04_18_18_period03,IsDisciplinaryTermsPresent,0.06691217405382129
sch02_tch04_04_09_18_period05,IsDisciplinaryTermsPresent,0.0871420256199022
sch02_tch04_04_09_18_period15,IsDisciplinaryTermsPresent,0.09147780115709199
sch02_tch04_04_11_18_period05,IsDisciplinaryTermsPresent,0.066070247286632
sch02_tch04_04_11_18_period15,IsDisciplinaryTermsPresent,0.23844349902198203
sch02_tch04_04_16_18_period05,IsDisciplinaryTermsPresent,0.0659165142859964
sch02_tch04_04_16_18_period15,IsDisciplinaryTermsPresent,0.0106318655786668
sch02_tch04_04_19_18_period05,IsDisciplinaryTermsPresent,0.012980466646229372
sch02_tch04_04_19_18_period15,IsDisciplinaryTermsPresent,0.144102865158734
sch02_tch05_04_26_18_period1,IsDisciplinaryTermsPresent,0.04326517826976213
sch02_tch05_04_26_18_period3,IsDisciplinaryTermsPresent,0.07265037401542689
sch02_tch05_04_27_18_period1,IsDisciplinaryTermsPresent,0.06744716077487768
sch02_tch05_04_27_18_period3,IsDisciplinaryTermsPresent,0.0746802033377038
sch02_tch05_04_30_18_period1,IsDisciplinaryTermsPresent,0.014392381009977806
sch02_tch05_04_30_18_period3,IsDisciplinaryTermsPresent,0.11680704258664179
sch02_tch05_05_01_18_period1,IsDisciplinaryTermsPresent,0.09940483115000767
sch02_tch05_05_01_18_period3,IsDisciplinaryTermsPresent,0.038988064486484605
sch02_tch06_05_03_18_period1-2,IsDisciplinaryTermsPresent,0.0045854800371853965
sch02_tch06_05_03_18_period3-4,IsDisciplinaryTermsPresent,0.08960457571224321
sch02_tch06_05_04_18_period1-2,IsDisciplinaryTermsPresent,0.27927770996154777
sch02_tch06_05_07_18_period3-4,IsDisciplinaryTermsPresent,0.21644281796288908
sch02_tch06_05_10_18_period3-4,IsDisciplinaryTermsPresent,0.235975829087401
sch02_tch06_05_14_18_period3-4,IsDisciplinaryTermsPresent,0.04966912026624419
sch02_tch06_05_16_18_period3-4,IsDisciplinaryTermsPresent,0.0696742386199241
sch02_tch06_05_17_18_period3-4,IsDisciplinaryTermsPresent,0.01957356503521547
sch02_tch07_05_04_18_period1-2,IsDisciplinaryTermsPresent,0.40901948460087995
sch02_tch07_05_04_18_period3-4,IsDisciplinaryTermsPresent,0.05922479273157499
sch02_tch07_05_10_18_period1-2,IsDisciplinaryTermsPresent,0.09464861098529756
sch02_tch07_05_10_18_period3-4,IsDisciplinaryTermsPresent,0.026508554446544853
sch02_tch07_05_11_18_period3-4,IsDisciplinaryTermsPresent,0.08512649402031637
sch02_tch07_05_14_18_period1-2,IsDisciplinaryTermsPresent,0.14367245587709282
sch02_tch07_05_14_18_period3-4,IsDisciplinaryTermsPresent,0.10704439641748567
sch02_tch07_05_15_18_period1-2,IsDisciplinaryTermsPresent,0.11031102149734304
sch03_tch01_05_24_18_period01,IsDisciplinaryTermsPresent,0.11460032818642935
sch03_tch01_05_24_18_period02,IsDisciplinaryTermsPresent,0.06218352321093282
sch03_tch01_05_25_18_period01,IsDisciplinaryTermsPresent,0.1446400205723106
sch03_tch01_05_30_18_period02,IsDisciplinaryTermsPresent,0.1933330830034115
sch03_tch01_05_30_18_period06,IsDisciplinaryTermsPresent,0.04974374722824798
sch03_tch01_05_31_18_period04,IsDisciplinaryTermsPresent,0.01952784801278465
sch03_tch01_05_31_18_period06,IsDisciplinaryTermsPresent,0.3179226782346379
sch03_tch01_06_01_18_period01,IsDisciplinaryTermsPresent,0.20807313030386193
sch03_tch01_06_01_18_period02,IsDisciplinaryTermsPresent,0.07599707917904536
sch03_tch02_05_29_18_period04,IsDisciplinaryTermsPresent,0.22346458428663873
sch03_tch02_05_29_18_period06,IsDisciplinaryTermsPresent,0.20930687458108604
sch03_tch02_05_30_18_period04,IsDisciplinaryTermsPresent,0.10164232576635338
sch03_tch02_05_30_18_period06,IsDisciplinaryTermsPresent,0.03630539892241941
sch03_tch02_05_31_18_period04,IsDisciplinaryTermsPresent,0.0513843567177662
sch03_tch02_05_31_18_period06,IsDisciplinaryTermsPresent,0.25061531494671047
sch03_tch02_06_07_18_period04,IsDisciplinaryTermsPresent,0.14843025192266993
sch03_tch03_05_24_18_period03,IsDisciplinaryTermsPresent,0.11089210522049775
sch03_tch03_05_24_18_period05,IsDisciplinaryTermsPresent,0.06741059541960824
sch03_tch03_05_31_18_period03,IsDisciplinaryTermsPresent,0.19943341760846617
sch03_tch03_05_31_18_period05,IsDisciplinaryTermsPresent,0.21870622758024866
sch03_tch03_06_06_18_period03,IsDisciplinaryTermsPresent,0.07107064409942138
sch03_tch03_06_06_18_period05,IsDisciplinaryTermsPresent,0.0524875076453199
sch03_tch04_05_30_18_period03,IsDisciplinaryTermsPresent,0.04959556289655229
sch03_tch04_05_31_18_period05,IsDisciplinaryTermsPresent,0.20334925365872955
sch03_tch04_05_31_18_period06,IsDisciplinaryTermsPresent,0.15370639092578556
sch03_tch04_06_04_18_period03,IsDisciplinaryTermsPresent,0.0023606364509108912
sch03_tch04_06_04_18_period06,IsDisciplinaryTermsPresent,0.1947199138849789
sch03_tch04_06_05_18_period03,IsDisciplinaryTermsPresent,0.06293919722374161
sch03_tch04_06_05_18_period06,IsDisciplinaryTermsPresent,0.16923720231597286
sch03_tch04_06_06_18_period03,IsDisciplinaryTermsPresent,0.04254743673410569
sch03_tch04_06_06_18_period06,IsDisciplinaryTermsPresent,0.16004688018839813
sch01_tch01_03_19_18_period03,IsInstructionalUtterance,0.057033677258510274
sch01_tch01_03_19_18_period05,IsInstructionalUtterance,0.12981397419568952
sch01_tch01_04_05_18_period02,IsInstructionalUtterance,0.05434882950648201
sch01_tch01_04_05_18_period03,IsInstructionalUtterance,0.024891140943911094
sch01_tch01_04_05_18_period05,IsInstructionalUtterance,0.18455592176803692
sch01_tch01_04_16_18_period02,IsInstructionalUtterance,0.0012272528587935483
sch01_tch01_04_23_18_period05,IsInstructionalUtterance,0.07560892282368348
sch01_tch01_04_24_18_period03,IsInstructionalUtterance,0.012303775506917414
sch01_tch01_04_24_18_period05,IsInstructionalUtterance,0.1501565435633374
sch01_tch02_04_26_18_period05,IsInstructionalUtterance,0.29138192296354537
sch01_tch02_04_26_18_period06,IsInstructionalUtterance,0.23180323214044096
sch01_tch02_04_27_18_period05,IsInstructionalUtterance,0.38708045201551694
sch01_tch02_04_27_18_period06,IsInstructionalUtterance,0.431086969718953
sch01_tch02_04_30_18_period06,IsInstructionalUtterance,0.04974771060044125
sch01_tch02_05_02_18_period05,IsInstructionalUtterance,0.2769592401917596
sch01_tch02_05_02_18_period06,IsInstructionalUtterance,0.2832867053960362
sch01_tch02_05_03_18_period05,IsInstructionalUtterance,0.07041958209647958
sch01_tch02_05_03_18_period06,IsInstructionalUtterance,0.057299033108956565
sch01_tch03_02_28_18_period04,IsInstructionalUtterance,0.25133554202630937
sch01_tch03_03_01_18_period03,IsInstructionalUtterance,0.08011742763530172
sch01_tch03_03_12_18_period03,IsInstructionalUtterance,0.15920021695640862
sch01_tch03_03_12_18_period04,IsInstructionalUtterance,0.25388276794484343
sch01_tch03_03_15_18_period04,IsInstructionalUtterance,0.09740601079546718
sch01_tch04_03_07_18_period05,IsInstructionalUtterance,0.2849077932976833
sch01_tch04_03_08_18_period05,IsInstructionalUtterance,0.05374496486462421
sch01_tch04_04_27_18_period05,IsInstructionalUtterance,0.04389241926942378
sch01_tch04_04_30_18_period04,IsInstructionalUtterance,0.022733015225487985
sch01_tch04_04_30_18_period05,IsInstructionalUtterance,0.16376816330041188
sch01_tch04_05_01_18_period04,IsInstructionalUtterance,0.37011287317770974
sch01_tch04_05_02_18_period04,IsInstructionalUtterance,0.15093372926007187
sch01_tch05_04_10_18_period02,IsInstructionalUtterance,0.09146738888802008
sch01_tch05_04_10_18_period04,IsInstructionalUtterance,0.09541868077032856
sch01_tch05_04_11_18_period01,IsInstructionalUtterance,0.11538175590887101
sch01_tch05_04_11_18_period04,IsInstructionalUtterance,0.06844787818525533
sch01_tch05_04_12_18_period02,IsInstructionalUtterance,0.13438952238406388
sch01_tch05_04_12_18_period04,IsInstructionalUtterance,0.2020971323582268
sch01_tch05_04_17_18_period02,IsInstructionalUtterance,0.1290626972494382
sch01_tch05_04_17_18_period04,IsInstructionalUtterance,0.06150940569052066
sch02_tch01_03_07_18_period1516,IsInstructionalUtterance,0.055076566887353184
sch02_tch01_03_08_18_period1314,IsInstructionalUtterance,0.15015730254967208
sch02_tch01_03_08_18_period1516,IsInstructionalUtterance,0.04214261631668159
sch02_tch01_03_09_18_period1314,IsInstructionalUtterance,0.004114864334336166
sch02_tch01_03_09_18_period1516,IsInstructionalUtterance,0.16764178319589285
sch02_tch01_03_12_18_period1516,IsInstructionalUtterance,0.04633886931645137
sch02_tch01_03_14_18_period1314,IsInstructionalUtterance,0.16718735432520337
sch02_tch01_03_14_18_period1516,IsInstructionalUtterance,0.09558516659333349
sch02_tch01_03_16_18_period1314,IsInstructionalUtterance,0.20700445844809945
sch02_tch02_02_28_18_period05-06,IsInstructionalUtterance,0.03057189852082909
sch02_tch02_02_28_18_period13-14,IsInstructionalUtterance,0.14590709560530102
sch02_tch02_03_01_18_period05-06,IsInstructionalUtterance,0.00968854290811172
sch02_tch02_03_01_18_period13-14,IsInstructionalUtterance,0.16541834763475471
sch02_tch02_03_07_18_period05-06,IsInstructionalUtterance,0.039838246024824775
